"details","numbers","time"
"Total domains registered within 30 Days","2330","1474930809.69712"
"Total domains renewed within 24 Hours","166","1474930809.69712"
"Total domains renewed within 30 Days","3052","1474930809.69712"
"Total domains","62037","1474938006.88883"
"Total domains registered within 24 hours","122","1474938006.88883"
"Total domains registered within 30 Days","2330","1474938006.88883"
"Total domains renewed within 24 Hours","166","1474938006.88883"
"Total domains renewed within 30 Days","3052","1474938006.88883"
"Total domains","61970","1474945206.18939"
"Total domains registered within 24 hours","122","1474945206.18939"
"Total domains registered within 30 Days","2330","1474945206.18939"
"Total domains renewed within 24 Hours","165","1474945206.18939"
"Total domains renewed within 30 Days","3052","1474945206.18939"
"Total domains","61972","1474952407.56424"
"Total domains registered within 24 hours","114","1474952407.56424"
"Total domains registered within 30 Days","2331","1474952407.56424"
"Total domains renewed within 24 Hours","153","1474952407.56424"
"Total domains renewed within 30 Days","3056","1474952407.56424"
"Total domains","61977","1474959605.97286"
"Total domains registered within 24 hours","100","1474959605.97286"
"Total domains registered within 30 Days","2336","1474959605.97286"
"Total domains renewed within 24 Hours","127","1474959605.97286"
"Total domains renewed within 30 Days","3062","1474959605.97286"
"Total domains","61988","1474966806.86683"
"Total domains registered within 24 hours","99","1474966806.86683"
"Total domains registered within 30 Days","2345","1474966806.86683"
"Total domains renewed within 24 Hours","127","1474966806.86683"
"Total domains renewed within 30 Days","3087","1474966806.86683"
"Total domains","62007","1474974006.32446"
"Total domains registered within 24 hours","97","1474974006.32446"
"Total domains registered within 30 Days","2362","1474974006.32446"
"Total domains renewed within 24 Hours","115","1474974006.32446"
"Total domains renewed within 30 Days","3102","1474974006.32446"
"Total domains","62033","1474981207.38813"
"Total domains registered within 24 hours","99","1474981207.38813"
"Total domains registered within 30 Days","2386","1474981207.38813"
"Total domains renewed within 24 Hours","121","1474981207.38813"
"Total domains renewed within 30 Days","3123","1474981207.38813"
"Total domains","62042","1474988407.07241"
"Total domains registered within 24 hours","92","1474988407.07241"
"Total domains registered within 30 Days","2392","1474988407.07241"
"Total domains renewed within 24 Hours","96","1474988407.07241"
"Total domains renewed within 30 Days","3132","1474988407.07241"
"Total domains","62050","1474995607.03011"
"Total domains registered within 24 hours","91","1474995607.03011"
"Total domains registered within 30 Days","2400","1474995607.03011"
"Total domains renewed within 24 Hours","90","1474995607.03011"
"Total domains renewed within 30 Days","3133","1474995607.03011"
"Total domains","62055","1475002807.22365"
"Total domains registered within 24 hours","88","1475002807.22365"
"Total domains registered within 30 Days","2402","1475002807.22365"
"Total domains renewed within 24 Hours","91","1475002807.22365"
"Total domains renewed within 30 Days","3137","1475002807.22365"
"Total domains","62056","1475010006.84849"
"Total domains registered within 24 hours","88","1475010006.84849"
"Total domains registered within 30 Days","2402","1475010006.84849"
"Total domains renewed within 24 Hours","95","1475010006.84849"
"Total domains renewed within 30 Days","3142","1475010006.84849"
"Total domains","62059","1475017206.69432"
"Total domains registered within 24 hours","91","1475017206.69432"
"Total domains registered within 30 Days","2405","1475017206.69432"
"Total domains renewed within 24 Hours","95","1475017206.69432"
"Total domains renewed within 30 Days","3141","1475017206.69432"
"Total domains","62060","1475024406.90665"
"Total domains registered within 24 hours","92","1475024406.90665"
"Total domains registered within 30 Days","2406","1475024406.90665"
"Total domains renewed within 24 Hours","96","1475024406.90665"
"Total domains renewed within 30 Days","3140","1475024406.90665"
"Total domains","62008","1475031606.90975"
"Total domains registered within 24 hours","92","1475031606.90975"
"Total domains registered within 30 Days","2404","1475031606.90975"
"Total domains renewed within 24 Hours","99","1475031606.90975"
"Total domains renewed within 30 Days","3142","1475031606.90975"
"Total domains","62008","1475038806.84712"
"Total domains registered within 24 hours","90","1475038806.84712"
"Total domains registered within 30 Days","2404","1475038806.84712"
"Total domains renewed within 24 Hours","107","1475038806.84712"
"Total domains renewed within 30 Days","3152","1475038806.84712"
"Total domains","62016","1475046007.27634"
"Total domains registered within 24 hours","93","1475046007.27634"
"Total domains registered within 30 Days","2408","1475046007.27634"
"Total domains renewed within 24 Hours","137","1475046007.27634"
"Total domains renewed within 30 Days","3168","1475046007.27634"
"Total domains","62033","1475053206.92244"
"Total domains registered within 24 hours","99","1475053206.92244"
"Total domains registered within 30 Days","2415","1475053206.92244"
"Total domains renewed within 24 Hours","128","1475053206.92244"
"Total domains renewed within 30 Days","3170","1475053206.92244"
"Total domains","62048","1475060410.07937"
"Total domains registered within 24 hours","94","1475060410.07937"
"Total domains registered within 30 Days","2415","1475060410.07937"
"Total domains renewed within 24 Hours","134","1475060410.07937"
"Total domains renewed within 30 Days","3179","1475060410.07937"
"Total domains","62075","1475067607.72995"
"Total domains registered within 24 hours","95","1475067607.72995"
"Total domains registered within 30 Days","2430","1475067607.72995"
"Total domains renewed within 24 Hours","123","1475067607.72995"
"Total domains renewed within 30 Days","3182","1475067607.72995"
"Total domains","62091","1475074807.61624"
"Total domains registered within 24 hours","102","1475074807.61624"
"Total domains registered within 30 Days","2428","1475074807.61624"
"Total domains renewed within 24 Hours","129","1475074807.61624"
"Total domains renewed within 30 Days","3185","1475074807.61624"
"Total domains","62102","1475082009.64078"
"Total domains registered within 24 hours","105","1475082009.64078"
"Total domains registered within 30 Days","2427","1475082009.64078"
"Total domains renewed within 24 Hours","136","1475082009.64078"
"Total domains renewed within 30 Days","3186","1475082009.64078"
"Total domains","62106","1475089207.47646"
"Total domains registered within 24 hours","103","1475089207.47646"
"Total domains registered within 30 Days","2424","1475089207.47646"
"Total domains renewed within 24 Hours","155","1475089207.47646"
"Total domains renewed within 30 Days","3207","1475089207.47646"
"Total domains","62114","1475096409.56441"
"Total domains registered within 24 hours","110","1475096409.56441"
"Total domains registered within 30 Days","2427","1475096409.56441"
"Total domains renewed within 24 Hours","155","1475096409.56441"
"Total domains renewed within 30 Days","2769","1475096409.56441"
"Total domains","62115","1475103607.26599"
"Total domains registered within 24 hours","108","1475103607.26599"
"Total domains registered within 30 Days","2428","1475103607.26599"
"Total domains renewed within 24 Hours","154","1475103607.26599"
"Total domains renewed within 30 Days","2554","1475103607.26599"
"Total domains","62116","1475110807.29278"
"Total domains registered within 24 hours","108","1475110807.29278"
"Total domains registered within 30 Days","2429","1475110807.29278"
"Total domains renewed within 24 Hours","153","1475110807.29278"
"Total domains renewed within 30 Days","2554","1475110807.29278"
"Total domains","62081","1475118006.64835"
"Total domains registered within 24 hours","108","1475118006.64835"
"Total domains registered within 30 Days","2429","1475118006.64835"
"Total domains renewed within 24 Hours","160","1475118006.64835"
"Total domains renewed within 30 Days","2564","1475118006.64835"
"Total domains","62082","1475125206.73725"
"Total domains registered within 24 hours","109","1475125206.73725"
"Total domains registered within 30 Days","2429","1475125206.73725"
"Total domains renewed within 24 Hours","156","1475125206.73725"
"Total domains renewed within 30 Days","2572","1475125206.73725"
"Total domains","62087","1475132406.64814"
"Total domains registered within 24 hours","106","1475132406.64814"
"Total domains registered within 30 Days","2426","1475132406.64814"
"Total domains renewed within 24 Hours","130","1475132406.64814"
"Total domains renewed within 30 Days","2568","1475132406.64814"
"Total domains","62104","1475139606.82465"
"Total domains registered within 24 hours","106","1475139606.82465"
"Total domains registered within 30 Days","2431","1475139606.82465"
"Total domains renewed within 24 Hours","135","1475139606.82465"
"Total domains renewed within 30 Days","2581","1475139606.82465"
"Total domains","62124","1475146806.49912"
"Total domains registered within 24 hours","111","1475146806.49912"
"Total domains registered within 30 Days","2443","1475146806.49912"
"Total domains renewed within 24 Hours","119","1475146806.49912"
"Total domains renewed within 30 Days","2566","1475146806.49912"
"Total domains","62140","1475154007.078"
"Total domains registered within 24 hours","99","1475154007.078"
"Total domains registered within 30 Days","2440","1475154007.078"
"Total domains renewed within 24 Hours","127","1475154007.078"
"Total domains renewed within 30 Days","2563","1475154007.078"
"Total domains","62155","1475161207.60408"
"Total domains registered within 24 hours","98","1475161207.60408"
"Total domains registered within 30 Days","2430","1475161207.60408"
"Total domains renewed within 24 Hours","118","1475161207.60408"
"Total domains renewed within 30 Days","2558","1475161207.60408"
"Total domains","62166","1475168407.45305"
"Total domains registered within 24 hours","98","1475168407.45305"
"Total domains registered within 30 Days","2420","1475168407.45305"
"Total domains renewed within 24 Hours","113","1475168407.45305"
"Total domains renewed within 30 Days","2553","1475168407.45305"
"Total domains","62174","1475175607.82142"
"Total domains registered within 24 hours","102","1475175607.82142"
"Total domains registered within 30 Days","2402","1475175607.82142"
"Total domains renewed within 24 Hours","96","1475175607.82142"
"Total domains renewed within 30 Days","2554","1475175607.82142"
"Total domains","62180","1475182806.60356"
"Total domains registered within 24 hours","100","1475182806.60356"
"Total domains registered within 30 Days","2405","1475182806.60356"
"Total domains renewed within 24 Hours","96","1475182806.60356"
"Total domains renewed within 30 Days","2558","1475182806.60356"
"Total domains","62181","1475190007.28595"
"Total domains registered within 24 hours","100","1475190007.28595"
"Total domains registered within 30 Days","2405","1475190007.28595"
"Total domains renewed within 24 Hours","99","1475190007.28595"
"Total domains renewed within 30 Days","2560","1475190007.28595"
"Total domains","62181","1475197207.81862"
"Total domains registered within 24 hours","99","1475197207.81862"
"Total domains registered within 30 Days","2405","1475197207.81862"
"Total domains renewed within 24 Hours","99","1475197207.81862"
"Total domains renewed within 30 Days","2560","1475197207.81862"
"Total domains","62167","1475204406.97896"
"Total domains registered within 24 hours","100","1475204406.97896"
"Total domains registered within 30 Days","2405","1475204406.97896"
"Total domains renewed within 24 Hours","89","1475204406.97896"
"Total domains renewed within 30 Days","2560","1475204406.97896"
"Total domains","62168","1475211607.27577"
"Total domains registered within 24 hours","100","1475211607.27577"
"Total domains registered within 30 Days","2403","1475211607.27577"
"Total domains renewed within 24 Hours","81","1475211607.27577"
"Total domains renewed within 30 Days","2559","1475211607.27577"
"Total domains","62177","1475218806.95308"
"Total domains registered within 24 hours","104","1475218806.95308"
"Total domains registered within 30 Days","2399","1475218806.95308"
"Total domains renewed within 24 Hours","81","1475218806.95308"
"Total domains renewed within 30 Days","2556","1475218806.95308"
"Total domains","62191","1475226007.22544"
"Total domains registered within 24 hours","102","1475226007.22544"
"Total domains registered within 30 Days","2400","1475226007.22544"
"Total domains renewed within 24 Hours","82","1475226007.22544"
"Total domains renewed within 30 Days","2564","1475226007.22544"
"Total domains","62203","1475233206.95472"
"Total domains registered within 24 hours","93","1475233206.95472"
"Total domains registered within 30 Days","2390","1475233206.95472"
"Total domains renewed within 24 Hours","82","1475233206.95472"
"Total domains renewed within 30 Days","2550","1475233206.95472"
"Total domains","62226","1475240406.83881"
"Total domains registered within 24 hours","101","1475240406.83881"
"Total domains registered within 30 Days","2395","1475240406.83881"
"Total domains renewed within 24 Hours","78","1475240406.83881"
"Total domains renewed within 30 Days","2550","1475240406.83881"
"Total domains","62235","1475247606.8682"
"Total domains registered within 24 hours","95","1475247606.8682"
"Total domains registered within 30 Days","2389","1475247606.8682"
"Total domains renewed within 24 Hours","89","1475247606.8682"
"Total domains renewed within 30 Days","2558","1475247606.8682"
"Total domains","62243","1475254806.70222"
"Total domains registered within 24 hours","92","1475254806.70222"
"Total domains registered within 30 Days","2392","1475254806.70222"
"Total domains renewed within 24 Hours","93","1475254806.70222"
"Total domains renewed within 30 Days","2556","1475254806.70222"
"Total domains","62246","1475262008.32765"
"Total domains registered within 24 hours","87","1475262008.32765"
"Total domains registered within 30 Days","2392","1475262008.32765"
"Total domains renewed within 24 Hours","94","1475262008.32765"
"Total domains renewed within 30 Days","2560","1475262008.32765"
"Total domains","62248","1475269207.56741"
"Total domains registered within 24 hours","83","1475269207.56741"
"Total domains registered within 30 Days","2386","1475269207.56741"
"Total domains renewed within 24 Hours","89","1475269207.56741"
"Total domains renewed within 30 Days","2558","1475269207.56741"
"Total domains","62248","1475276406.87909"
"Total domains registered within 24 hours","82","1475276406.87909"
"Total domains registered within 30 Days","2384","1475276406.87909"
"Total domains renewed within 24 Hours","86","1475276406.87909"
"Total domains renewed within 30 Days","2556","1475276406.87909"
"Total domains","62248","1475283606.70117"
"Total domains registered within 24 hours","82","1475283606.70117"
"Total domains registered within 30 Days","2384","1475283606.70117"
"Total domains renewed within 24 Hours","86","1475283606.70117"
"Total domains renewed within 30 Days","2556","1475283606.70117"
"Total domains","62204","1475290807.05013"
"Total domains registered within 24 hours","81","1475290807.05013"
"Total domains registered within 30 Days","2383","1475290807.05013"
"Total domains renewed within 24 Hours","86","1475290807.05013"
"Total domains renewed within 30 Days","2555","1475290807.05013"
"Total domains","62206","1475298007.05247"
"Total domains registered within 24 hours","82","1475298007.05247"
"Total domains registered within 30 Days","2382","1475298007.05247"
"Total domains renewed within 24 Hours","86","1475298007.05247"
"Total domains renewed within 30 Days","2554","1475298007.05247"
"Total domains","62210","1475305206.74125"
"Total domains registered within 24 hours","77","1475305206.74125"
"Total domains registered within 30 Days","2380","1475305206.74125"
"Total domains renewed within 24 Hours","80","1475305206.74125"
"Total domains renewed within 30 Days","2548","1475305206.74125"
"Total domains","62219","1475312406.18981"
"Total domains registered within 24 hours","72","1475312406.18981"
"Total domains registered within 30 Days","2372","1475312406.18981"
"Total domains renewed within 24 Hours","65","1475312406.18981"
"Total domains renewed within 30 Days","2538","1475312406.18981"
"Total domains","62226","1475319606.47712"
"Total domains registered within 24 hours","67","1475319606.47712"
"Total domains registered within 30 Days","2359","1475319606.47712"
"Total domains renewed within 24 Hours","72","1475319606.47712"
"Total domains renewed within 30 Days","2526","1475319606.47712"
"Total domains","62232","1475326806.74767"
"Total domains registered within 24 hours","50","1475326806.74767"
"Total domains registered within 30 Days","2352","1475326806.74767"
"Total domains renewed within 24 Hours","60","1475326806.74767"
"Total domains renewed within 30 Days","2513","1475326806.74767"
"Total domains","62234","1475334007.16748"
"Total domains registered within 24 hours","43","1475334007.16748"
"Total domains registered within 30 Days","2335","1475334007.16748"
"Total domains renewed within 24 Hours","47","1475334007.16748"
"Total domains renewed within 30 Days","2512","1475334007.16748"
"Total domains","62238","1475341207.41475"
"Total domains registered within 24 hours","39","1475341207.41475"
"Total domains registered within 30 Days","2331","1475341207.41475"
"Total domains renewed within 24 Hours","42","1475341207.41475"
"Total domains renewed within 30 Days","2508","1475341207.41475"
"Total domains","62240","1475348407.23547"
"Total domains registered within 24 hours","38","1475348407.23547"
"Total domains registered within 30 Days","2326","1475348407.23547"
"Total domains renewed within 24 Hours","39","1475348407.23547"
"Total domains renewed within 30 Days","2510","1475348407.23547"
"Total domains","62243","1475355607.29211"
"Total domains registered within 24 hours","39","1475355607.29211"
"Total domains registered within 30 Days","2325","1475355607.29211"
"Total domains renewed within 24 Hours","39","1475355607.29211"
"Total domains renewed within 30 Days","2507","1475355607.29211"
"Total domains","62243","1475362806.96484"
"Total domains registered within 24 hours","39","1475362806.96484"
"Total domains registered within 30 Days","2322","1475362806.96484"
"Total domains renewed within 24 Hours","40","1475362806.96484"
"Total domains renewed within 30 Days","2508","1475362806.96484"
"Total domains","62243","1475370007.0988"
"Total domains registered within 24 hours","39","1475370007.0988"
"Total domains registered within 30 Days","2322","1475370007.0988"
"Total domains renewed within 24 Hours","40","1475370007.0988"
"Total domains renewed within 30 Days","2508","1475370007.0988"
"Total domains","62195","1475377206.96911"
"Total domains registered within 24 hours","39","1475377206.96911"
"Total domains registered within 30 Days","2321","1475377206.96911"
"Total domains renewed within 24 Hours","40","1475377206.96911"
"Total domains renewed within 30 Days","2508","1475377206.96911"
"Total domains","62196","1475384407.51881"
"Total domains registered within 24 hours","38","1475384407.51881"
"Total domains registered within 30 Days","2321","1475384407.51881"
"Total domains renewed within 24 Hours","41","1475384407.51881"
"Total domains renewed within 30 Days","2509","1475384407.51881"
"Total domains","62197","1475391606.62499"
"Total domains registered within 24 hours","35","1475391606.62499"
"Total domains registered within 30 Days","2312","1475391606.62499"
"Total domains renewed within 24 Hours","38","1475391606.62499"
"Total domains renewed within 30 Days","2501","1475391606.62499"
"Total domains","62197","1475398807.15371"
"Total domains registered within 24 hours","26","1475398807.15371"
"Total domains registered within 30 Days","2296","1475398807.15371"
"Total domains renewed within 24 Hours","31","1475398807.15371"
"Total domains renewed within 30 Days","2482","1475398807.15371"
"Total domains","62199","1475406007.36378"
"Total domains registered within 24 hours","21","1475406007.36378"
"Total domains registered within 30 Days","2279","1475406007.36378"
"Total domains renewed within 24 Hours","19","1475406007.36378"
"Total domains renewed within 30 Days","2477","1475406007.36378"
"Total domains","62204","1475413207.51101"
"Total domains registered within 24 hours","20","1475413207.51101"
"Total domains registered within 30 Days","2269","1475413207.51101"
"Total domains renewed within 24 Hours","23","1475413207.51101"
"Total domains renewed within 30 Days","2466","1475413207.51101"
"Total domains","62206","1475420407.08406"
"Total domains registered within 24 hours","20","1475420407.08406"
"Total domains registered within 30 Days","2263","1475420407.08406"
"Total domains renewed within 24 Hours","21","1475420407.08406"
"Total domains renewed within 30 Days","2458","1475420407.08406"
"Total domains","62209","1475427606.63277"
"Total domains registered within 24 hours","19","1475427606.63277"
"Total domains registered within 30 Days","2261","1475427606.63277"
"Total domains renewed within 24 Hours","20","1475427606.63277"
"Total domains renewed within 30 Days","2453","1475427606.63277"
"Total domains","62212","1475434807.22889"
"Total domains registered within 24 hours","20","1475434807.22889"
"Total domains registered within 30 Days","2261","1475434807.22889"
"Total domains renewed within 24 Hours","17","1475434807.22889"
"Total domains renewed within 30 Days","2453","1475434807.22889"
"Total domains","62215","1475442007.06934"
"Total domains registered within 24 hours","20","1475442007.06934"
"Total domains registered within 30 Days","2263","1475442007.06934"
"Total domains renewed within 24 Hours","20","1475442007.06934"
"Total domains renewed within 30 Days","2455","1475442007.06934"
"Total domains","62215","1475449206.34548"
"Total domains registered within 24 hours","20","1475449206.34548"
"Total domains registered within 30 Days","2263","1475449206.34548"
"Total domains renewed within 24 Hours","21","1475449206.34548"
"Total domains renewed within 30 Days","2457","1475449206.34548"
"Total domains","62215","1475456406.60345"
"Total domains registered within 24 hours","20","1475456406.60345"
"Total domains registered within 30 Days","2262","1475456406.60345"
"Total domains renewed within 24 Hours","21","1475456406.60345"
"Total domains renewed within 30 Days","2457","1475456406.60345"
"Total domains","62166","1475463606.02187"
"Total domains registered within 24 hours","20","1475463606.02187"
"Total domains registered within 30 Days","2262","1475463606.02187"
"Total domains renewed within 24 Hours","21","1475463606.02187"
"Total domains renewed within 30 Days","2457","1475463606.02187"
"Total domains","62172","1475470806.66248"
"Total domains registered within 24 hours","25","1475470806.66248"
"Total domains registered within 30 Days","2268","1475470806.66248"
"Total domains renewed within 24 Hours","23","1475470806.66248"
"Total domains renewed within 30 Days","2459","1475470806.66248"
"Total domains","62179","1475478006.39616"
"Total domains registered within 24 hours","31","1475478006.39616"
"Total domains registered within 30 Days","2272","1475478006.39616"
"Total domains renewed within 24 Hours","44","1475478006.39616"
"Total domains renewed within 30 Days","2478","1475478006.39616"
"Total domains","62194","1475485206.15678"
"Total domains registered within 24 hours","47","1475485206.15678"
"Total domains registered within 30 Days","2285","1475485206.15678"
"Total domains renewed within 24 Hours","81","1475485206.15678"
"Total domains renewed within 30 Days","2509","1475485206.15678"
"Total domains","62216","1475492406.88375"
"Total domains registered within 24 hours","67","1475492406.88375"
"Total domains registered within 30 Days","2300","1475492406.88375"
"Total domains renewed within 24 Hours","103","1475492406.88375"
"Total domains renewed within 30 Days","2525","1475492406.88375"
"Total domains","62248","1475499607.2838"
"Total domains registered within 24 hours","94","1475499607.2838"
"Total domains registered within 30 Days","2321","1475499607.2838"
"Total domains renewed within 24 Hours","131","1475499607.2838"
"Total domains renewed within 30 Days","2559","1475499607.2838"
"Total domains","62281","1475506807.27581"
"Total domains registered within 24 hours","125","1475506807.27581"
"Total domains registered within 30 Days","2349","1475506807.27581"
"Total domains renewed within 24 Hours","151","1475506807.27581"
"Total domains renewed within 30 Days","2579","1475506807.27581"
"Total domains","62291","1475514008.15435"
"Total domains registered within 24 hours","132","1475514008.15435"
"Total domains registered within 30 Days","2358","1475514008.15435"
"Total domains renewed within 24 Hours","162","1475514008.15435"
"Total domains renewed within 30 Days","2587","1475514008.15435"
"Total domains","62297","1475521207.29806"
"Total domains registered within 24 hours","135","1475521207.29806"
"Total domains registered within 30 Days","2362","1475521207.29806"
"Total domains renewed within 24 Hours","165","1475521207.29806"
"Total domains renewed within 30 Days","2587","1475521207.29806"
"Total domains","62300","1475528406.85137"
"Total domains registered within 24 hours","135","1475528406.85137"
"Total domains registered within 30 Days","2362","1475528406.85137"
"Total domains renewed within 24 Hours","163","1475528406.85137"
"Total domains renewed within 30 Days","2587","1475528406.85137"
"Total domains","62302","1475535607.93799"
"Total domains registered within 24 hours","137","1475535607.93799"
"Total domains registered within 30 Days","2364","1475535607.93799"
"Total domains renewed within 24 Hours","161","1475535607.93799"
"Total domains renewed within 30 Days","2581","1475535607.93799"
"Total domains","62302","1475542806.90032"
"Total domains registered within 24 hours","137","1475542806.90032"
"Total domains registered within 30 Days","2363","1475542806.90032"
"Total domains renewed within 24 Hours","161","1475542806.90032"
"Total domains renewed within 30 Days","2580","1475542806.90032"
"Total domains","62244","1475550006.49741"
"Total domains registered within 24 hours","138","1475550006.49741"
"Total domains registered within 30 Days","2364","1475550006.49741"
"Total domains renewed within 24 Hours","161","1475550006.49741"
"Total domains renewed within 30 Days","2580","1475550006.49741"
"Total domains","62248","1475557207.06232"
"Total domains registered within 24 hours","136","1475557207.06232"
"Total domains registered within 30 Days","2368","1475557207.06232"
"Total domains renewed within 24 Hours","160","1475557207.06232"
"Total domains renewed within 30 Days","2582","1475557207.06232"
"Total domains","62252","1475564405.95079"
"Total domains registered within 24 hours","133","1475564405.95079"
"Total domains registered within 30 Days","2372","1475564405.95079"
"Total domains renewed within 24 Hours","143","1475564405.95079"
"Total domains renewed within 30 Days","2587","1475564405.95079"
"Total domains","62281","1475571606.62106"
"Total domains registered within 24 hours","146","1475571606.62106"
"Total domains registered within 30 Days","2397","1475571606.62106"
"Total domains renewed within 24 Hours","126","1475571606.62106"
"Total domains renewed within 30 Days","2607","1475571606.62106"
"Total domains","62313","1475578805.88647"
"Total domains registered within 24 hours","156","1475578805.88647"
"Total domains registered within 30 Days","2428","1475578805.88647"
"Total domains renewed within 24 Hours","126","1475578805.88647"
"Total domains renewed within 30 Days","2628","1475578805.88647"
"Total domains","62338","1475586006.8493"
"Total domains registered within 24 hours","149","1475586006.8493"
"Total domains registered within 30 Days","2451","1475586006.8493"
"Total domains renewed within 24 Hours","110","1475586006.8493"
"Total domains renewed within 30 Days","2647","1475586006.8493"
"Total domains","62360","1475593207.43183"
"Total domains registered within 24 hours","138","1475593207.43183"
"Total domains registered within 30 Days","2468","1475593207.43183"
"Total domains renewed within 24 Hours","102","1475593207.43183"
"Total domains renewed within 30 Days","2663","1475593207.43183"
"Total domains","62368","1475600406.68067"
"Total domains registered within 24 hours","136","1475600406.68067"
"Total domains registered within 30 Days","2474","1475600406.68067"
"Total domains renewed within 24 Hours","98","1475600406.68067"
"Total domains renewed within 30 Days","2665","1475600406.68067"
"Total domains","62381","1475607607.40455"
"Total domains registered within 24 hours","143","1475607607.40455"
"Total domains registered within 30 Days","2484","1475607607.40455"
"Total domains renewed within 24 Hours","95","1475607607.40455"
"Total domains renewed within 30 Days","2663","1475607607.40455"
"Total domains","62382","1475614806.81396"
"Total domains registered within 24 hours","141","1475614806.81396"
"Total domains registered within 30 Days","2484","1475614806.81396"
"Total domains renewed within 24 Hours","96","1475614806.81396"
"Total domains renewed within 30 Days","2665","1475614806.81396"
"Total domains","62383","1475622007.87287"
"Total domains registered within 24 hours","140","1475622007.87287"
"Total domains registered within 30 Days","2484","1475622007.87287"
"Total domains renewed within 24 Hours","99","1475622007.87287"
"Total domains renewed within 30 Days","2668","1475622007.87287"
"Total domains","62383","1475629207.97806"
"Total domains registered within 24 hours","140","1475629207.97806"
"Total domains registered within 30 Days","2484","1475629207.97806"
"Total domains renewed within 24 Hours","99","1475629207.97806"
"Total domains renewed within 30 Days","2668","1475629207.97806"
"Total domains","62316","1475636406.35371"
"Total domains registered within 24 hours","139","1475636406.35371"
"Total domains registered within 30 Days","2484","1475636406.35371"
"Total domains renewed within 24 Hours","99","1475636406.35371"
"Total domains renewed within 30 Days","2667","1475636406.35371"
"Total domains","62320","1475643607.23824"
"Total domains registered within 24 hours","139","1475643607.23824"
"Total domains registered within 30 Days","2486","1475643607.23824"
"Total domains renewed within 24 Hours","106","1475643607.23824"
"Total domains renewed within 30 Days","2671","1475643607.23824"
"Total domains","62334","1475650806.44034"
"Total domains registered within 24 hours","149","1475650806.44034"
"Total domains registered within 30 Days","2496","1475650806.44034"
"Total domains renewed within 24 Hours","117","1475650806.44034"
"Total domains renewed within 30 Days","2679","1475650806.44034"
"Total domains","62364","1475658006.51041"
"Total domains registered within 24 hours","151","1475658006.51041"
"Total domains registered within 30 Days","2513","1475658006.51041"
"Total domains renewed within 24 Hours","114","1475658006.51041"
"Total domains renewed within 30 Days","2663","1475658006.51041"
"Total domains","62388","1475665206.59547"
"Total domains registered within 24 hours","143","1475665206.59547"
"Total domains registered within 30 Days","2518","1475665206.59547"
"Total domains renewed within 24 Hours","102","1475665206.59547"
"Total domains renewed within 30 Days","2651","1475665206.59547"
"Total domains","62414","1475672407.0362"
"Total domains registered within 24 hours","143","1475672407.0362"
"Total domains registered within 30 Days","2528","1475672407.0362"
"Total domains renewed within 24 Hours","99","1475672407.0362"
"Total domains renewed within 30 Days","2654","1475672407.0362"
"Total domains","62427","1475679607.60034"
"Total domains registered within 24 hours","134","1475679607.60034"
"Total domains registered within 30 Days","2531","1475679607.60034"
"Total domains renewed within 24 Hours","100","1475679607.60034"
"Total domains renewed within 30 Days","2640","1475679607.60034"
"Total domains","62436","1475686806.67474"
"Total domains registered within 24 hours","135","1475686806.67474"
"Total domains registered within 30 Days","2533","1475686806.67474"
"Total domains renewed within 24 Hours","95","1475686806.67474"
"Total domains renewed within 30 Days","2634","1475686806.67474"
"Total domains","62444","1475694006.62547"
"Total domains registered within 24 hours","130","1475694006.62547"
"Total domains registered within 30 Days","2530","1475694006.62547"
"Total domains renewed within 24 Hours","102","1475694006.62547"
"Total domains renewed within 30 Days","2640","1475694006.62547"
"Total domains","62446","1475701206.63136"
"Total domains registered within 24 hours","131","1475701206.63136"
"Total domains registered within 30 Days","2532","1475701206.63136"
"Total domains renewed within 24 Hours","100","1475701206.63136"
"Total domains renewed within 30 Days","2639","1475701206.63136"
"Total domains","62447","1475708408.31741"
"Total domains registered within 24 hours","131","1475708408.31741"
"Total domains registered within 30 Days","2531","1475708408.31741"
"Total domains renewed within 24 Hours","97","1475708408.31741"
"Total domains renewed within 30 Days","2639","1475708408.31741"
"Total domains","62449","1475715607.2972"
"Total domains registered within 24 hours","133","1475715607.2972"
"Total domains registered within 30 Days","2532","1475715607.2972"
"Total domains renewed within 24 Hours","97","1475715607.2972"
"Total domains renewed within 30 Days","2639","1475715607.2972"
"Total domains","62419","1475722806.34048"
"Total domains registered within 24 hours","133","1475722806.34048"
"Total domains registered within 30 Days","2532","1475722806.34048"
"Total domains renewed within 24 Hours","98","1475722806.34048"
"Total domains renewed within 30 Days","2640","1475722806.34048"
"Total domains","62421","1475730006.64589"
"Total domains registered within 24 hours","131","1475730006.64589"
"Total domains registered within 30 Days","2532","1475730006.64589"
"Total domains renewed within 24 Hours","95","1475730006.64589"
"Total domains renewed within 30 Days","2633","1475730006.64589"
"Total domains","62436","1475737207.00717"
"Total domains registered within 24 hours","132","1475737207.00717"
"Total domains registered within 30 Days","2538","1475737207.00717"
"Total domains renewed within 24 Hours","95","1475737207.00717"
"Total domains renewed within 30 Days","2636","1475737207.00717"
"Total domains","62460","1475744406.6497"
"Total domains registered within 24 hours","126","1475744406.6497"
"Total domains registered within 30 Days","2543","1475744406.6497"
"Total domains renewed within 24 Hours","95","1475744406.6497"
"Total domains renewed within 30 Days","2632","1475744406.6497"
